SK_ID_CURR,EXT_SOURCE_2,DAYS_BIRTH,AMT_CREDIT,AMT_ANNUITY,DAYS_EMPLOYED,DAYS_ID_PUBLISH,DAYS_LAST_PHONE_CHANGE,DAYS_REGISTRATION,REGION_POPULATION_RELATIVE,AMT_INCOME_TOTAL,CODE_GENDER_F,NAME_EDUCATION_TYPE_Highereducation,NAME_CONTRACT_TYPE_Cashloans,HOUR_APPR_PROCESS_START,REGION_RATING_CLIENT,NAME_FAMILY_STATUS_Married,DEF_30_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_3,OBS_30_CNT_SOCIAL_CIRCLE,NAME_INCOME_TYPE_Working,REG_CITY_NOT_LIVE_CITY,ORGANIZATION_TYPE_Selfemployed,NAME_EDUCATION_TYPE_Secondarysecondaryspecial,FLAG_DOCUMENT_18,FLAG_WORK_PHONE,OCCUPATION_TYPE_Corestaff,NAME_INCOME_TYPE_Stateservant,FLAG_DOCUMENT_13,ORGANIZATION_TYPE_Construction,OCCUPATION_TYPE_Drivers,ORGANIZATION_TYPE_Military,OCCUPATION_TYPE_Laborers,FLAG_DOCUMENT_16,ORGANIZATION_TYPE_Industrytype9,ORGANIZATION_TYPE_BusinessEntityType3,WALLSMATERIAL_MODE_Panel,ORGANIZATION_TYPE_Transporttype3,CODE_GENDER_M,OCCUPATION_TYPE_Highskilltechstaff
384575,0.6048943383603742,-13297.0,465457.5,52641.0,-762.0,-4307.0,-2.0,-637.0,0.00963,207000.0,0.0,0.0,1.0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
214010,0.4253505221468029,-14778.0,1281712.5,48946.5,-1141.0,-4546.0,-1071.0,-1610.0,0.006852,247500.0,1.0,1.0,1.0,10.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
142232,0.5317599965307688,-17907.0,495000.0,39109.5,-639.0,-1461.0,-1435.0,-2507.0,0.035792,202500.0,1.0,0.0,1.0,16.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389171,0.6935206274920988,-19626.0,254700.0,24939.0,-6982.0,-3158.0,-2000.0,-11167.0,0.04622,247500.0,1.0,0.0,1.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
283617,0.5606898594049499,-20327.0,308133.0,15862.5,-1105.0,-494.0,-173.0,-7299.0,0.01885,112500.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
362171,0.5191266804311161,-19130.0,152820.0,16456.5,365243.0,-959.0,-1011.0,-8549.0,0.006629,85500.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180689,0.5479626352655883,-15722.0,900000.0,24750.0,-345.0,-4672.0,-440.0,-492.0,0.015221,112500.0,1.0,0.0,1.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
310328,0.0125875656953968,-10801.0,810000.0,33120.0,-260.0,-3152.0,-222.0,-263.0,0.018801,141606.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
233043,0.077534911185021,-23516.0,781920.0,34443.0,365243.0,-4763.0,0.0,-1663.0,0.0228,130500.0,1.0,0.0,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232220,0.7400816968755699,-8755.0,900000.0,35824.5,-649.0,-1436.0,0.0,-8733.0,0.026392,99000.0,1.0,0.0,1.0,14.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134561,0.4127344161068856,-13280.0,331920.0,17077.5,-280.0,-4880.0,-956.0,-3471.0,0.006305,67500.0,1.0,0.0,1.0,9.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120952,0.4530704545682325,-8438.0,225000.0,11074.5,-809.0,-838.0,-555.0,-3232.0,0.0228,135000.0,0.0,0.0,1.0,15.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
188909,0.5746638509651143,-22532.0,593010.0,17122.5,365243.0,-4226.0,-1102.0,-10231.0,0.005144,270000.0,1.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
347275,0.6229959372837893,-16758.0,1125000.0,36292.5,-1093.0,-290.0,-720.0,-80.0,0.0145199999999999,630000.0,0.0,0.0,1.0,15.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
250804,0.5128407971420282,-11214.0,774000.0,28813.5,-831.0,-626.0,-67.0,-615.0,0.018029,180000.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
